i	O
charge	O
it	O
at	O
night	O
and	O
skip	O
taking	O
the	O
cord	B-NEU
with	O
me	O
because	O
of	O
the	O
good	O
battery	B-POS
life	I-POS
.	O

i	O
bought	O
a	O
hp	O
pavilion	O
dv4-1222nr	O
laptop	O
and	O
have	O
had	O
so	O
many	O
problems	O
with	O
the	O
computer	O
.	O

the	O
tech	B-NEU
guy	I-NEU
then	O
said	O
the	O
service	B-NEG
center	I-NEG
does	O
not	O
do	O
1-to-1	O
exchange	O
and	O
i	O
have	O
to	O
direct	O
my	O
concern	O
to	O
the	O
sales	B-NEG
team	I-NEG
,	O
which	O
is	O
the	O
retail	O
shop	O
which	O
i	O
bought	O
my	O
netbook	O
from	O
.	O

i	O
investigated	O
netbooks	O
and	O
saw	O
the	O
toshiba	O
nb305-n410bl	O
.	O

the	O
other	O
day	O
i	O
had	O
a	O
presentation	O
to	O
do	O
for	O
a	O
seminar	O
at	O
a	O
large	O
conference	O
in	O
town	O
-	O
lots	O
of	O
people	O
,	O
little	O
time	O
to	O
prep	O
and	O
have	O
to	O
set	O
up	O
a	O
computer	O
to	O
a	O
projector	O
,	O
etc	O
.	O

it	O
is	O
of	O
high	O
quality	B-POS
,	O
has	O
a	O
killer	O
gui	B-POS
,	O
is	O
extremely	O
stable	O
,	O
is	O
highly	O
expandable	O
,	O
is	O
bundled	O
with	O
lots	O
of	O
very	O
good	O
applications	B-POS
,	O
is	O
easy	O
to	O
use	B-POS
,	O
and	O
is	O
absolutely	O
gorgeous	O
.	O

easy	O
to	O
start	B-POS
up	I-POS
and	O
does	O
not	O
overheat	O
as	O
much	O
as	O
other	O
laptops	O
.	O

sad	O
very	O
sad	O
.	O

i	O
even	O
got	O
my	O
teenage	O
son	O
one	O
,	O
because	O
of	O
the	O
features	B-POS
that	O
it	O
offers	O
,	O
like	O
,	O
ichat	B-POS
,	O
photobooth	B-POS
,	O
garage	B-POS
band	I-POS
and	O
more	O
!	O

needless	O
to	O
say	O
a	O
pc	O
that	O
ca	O
n't	O
support	O
a	O
cell	O
phone	O
is	O
less	O
than	O
useless	O
!	O

great	O
laptop	O
that	O
offers	O
many	O
great	O
features	B-POS
!	O

they	O
have	O
done	O
absolutely	O
nothing	O
to	O
fix	O
the	O
computer	O
problem	O
.	O

one	O
night	O
i	O
turned	O
the	O
freaking	O
thing	O
off	O
after	O
using	O
it	O
,	O
the	O
next	O
day	O
i	O
turn	O
it	O
on	O
,	O
no	O
gui	B-NEG
,	O
screen	B-NEG
all	O
dark	O
,	O
power	B-NEU
light	I-NEU
steady	O
,	O
hard	B-NEG
drive	I-NEG
light	I-NEG
steady	O
and	O
not	O
flashing	O
as	O
it	O
usually	O
does	O
.	O

still	O
pretty	O
pricey	O
,	O
but	O
i	O
've	O
been	O
putting	O
off	O
money	O
for	O
a	O
while	O
as	O
a	O
little	O
macbook	O
fund	O
,	O
and	O
finally	O
got	O
to	O
use	O
it	O
.	O

i	O
took	O
it	O
back	O
for	O
an	O
asus	O
and	O
same	O
thing	O
-	O
blue	O
screen	O
which	O
required	O
me	O
to	O
remove	O
the	O
battery	B-NEU
to	O
reset	O
.	O

in	O
the	O
shop	O
,	O
these	O
macbooks	O
are	O
encased	O
in	O
a	O
soft	O
rubber	B-POS
enclosure	I-POS
-	O
so	O
you	O
will	O
never	O
know	O
about	O
the	O
razor	O
edge	B-NEG
until	O
you	O
buy	O
it	O
,	O
get	O
it	O
home	O
,	O
break	O
the	O
seal	O
and	O
use	O
it	O
(	O
very	O
clever	O
con	O
)	O
.	O

however	O
,	O
the	O
multi-touch	B-POS
gestures	I-POS
and	O
large	O
tracking	B-POS
area	I-POS
make	O
having	O
an	O
external	B-NEU
mouse	I-NEU
unnecessary	O
(	O
unless	O
you	O
're	O
gaming	B-NEU
)	O
.	O

plus	O
it	O
is	O
small	O
and	O
reasonably	O
light	O
so	O
i	O
can	O
take	O
it	O
with	O
me	O
to	O
and	O
from	O
work	O
.	O

i	O
hate	O
this	O
one	O
.	O

they	O
were	O
totally	O
unconcerned	O
that	O
the	O
computer	O
was	O
not	O
correctly	O
repaired	O
in	O
the	O
first	O
place	O
.	O

toshiba	O
does	O
not	O
send	O
any	O
one	O
out	O
unless	O
you	O
have	O
paid	O
extra	O
to	O
have	O
the	O
on	O
site	O
repair	O
done	O
.	O

oh	O
,	O
boy	O
!	O

but	O
while	O
this	O
is	O
one	O
big	O
advantage	O
(	O
as	O
you	O
may	O
know	O
from	O
the	O
company	O
s	O
recent	O
commercials	O
)	O
there	O
are	O
other	O
things	O
to	O
consider	O
before	O
going	O
with	O
apple	O
.	O

i	O
love	O
the	O
way	O
the	O
entire	O
suite	B-POS
of	I-POS
software	I-POS
works	O
together	O
.	O

the	O
speed	B-POS
is	O
incredible	O
and	O
i	O
am	O
more	O
than	O
satisfied	O
.	O

on	O
the	O
bright	O
side	O
at	O
least	O
i	O
was	O
n't	O
without	O
my	O
laptop	O
for	O
long	O
this	O
time	O
!	O

this	O
laptop	O
meets	O
every	O
expectation	O
and	O
windows	B-POS
7	I-POS
is	O
great	O
!	O

that	O
's	O
how	O
frustrating	O
it	O
was	O
.	O

i	O
can	O
barely	O
use	O
any	O
usb	B-NEG
devices	I-NEG
because	O
they	O
will	O
not	O
stay	O
connected	O
properly	O
.	O

the	O
one	O
down	O
side	O
to	O
it	O
is	O
that	O
when	O
i	O
play	O
a	O
certin	O
game	O
on	O
here	O
,	O
it	O
tends	O
to	O
freeze	O
up	O
sometimes	O
,	O
but	O
thats	O
the	O
only	O
bad	O
thing	O
about	O
this	O
computer	O
.	O

when	O
i	O
finally	O
had	O
everything	O
running	O
with	O
all	O
my	O
software	B-NEU
installed	O
i	O
plugged	O
in	O
my	O
droid	O
to	O
recharge	O
and	O
the	O
system	B-NEG
crashed	O
.	O

i	O
ca	O
n't	O
even	O
turn	O
it	O
off	O
.	O

one	O
suggestion	O
i	O
do	O
have	O
,	O
is	O
to	O
not	O
bother	O
getting	O
microsoft	B-NEG
office	I-NEG
for	I-NEG
the	I-NEG
mac	I-NEG
expecting	O
it	O
will	O
work	O
just	O
like	O
you	O
knew	O
it	O
to	O
on	O
a	O
pc	O
.	O

pairing	O
it	O
with	O
an	O
iphone	O
is	O
a	O
pure	O
pleasure	O
-	O
talk	O
about	O
painless	O
syncing	B-POS
-	O
used	O
to	O
take	O
me	O
forever	O
-	O
now	O
it	O
's	O
a	O
snap	O
.	O

i	O
shopped	O
around	O
before	O
buying	O
.	O

i	O
also	O
got	O
the	O
added	O
bonus	O
of	O
a	O
3	B-POS
0	I-POS
hd	I-POS
monitor	I-POS
,	O
which	O
really	O
helps	O
to	O
extend	O
my	O
screen	B-NEU
and	O
keep	O
my	O
eyes	O
fresh	O
!	O

would	O
do	O
business	O
again	O
.	O

the	O
machine	O
is	O
slow	O
to	O
boot	B-NEG
