but	O
the	O
staff	B-NEG
was	O
so	O
horrible	O
to	O
us	O
.	O

to	O
be	O
completely	O
fair	O
,	O
the	O
only	O
redeeming	O
factor	O
was	O
the	O
food	B-POS
,	O
which	O
was	O
above	O
average	O
,	O
but	O
could	O
n't	O
make	O
up	O
for	O
all	O
the	O
other	O
deficiencies	O
of	O
teodora	O
.	O

the	O
food	B-POS
is	O
uniformly	O
exceptional	O
,	O
with	O
a	O
very	O
capable	O
kitchen	B-POS
which	O
will	O
proudly	O
whip	O
up	O
whatever	O
you	O
feel	O
like	O
eating	O
,	O
whether	O
it	O
's	O
on	O
the	O
menu	B-NEU
or	O
not	O
.	O

where	O
gabriela	O
personaly	O
greets	O
you	O
and	O
recommends	O
you	O
what	O
to	O
eat	O
.	O

for	O
those	O
that	O
go	O
once	O
and	O
do	O
n't	O
enjoy	O
it	O
,	O
all	O
i	O
can	O
say	O
is	O
that	O
they	O
just	O
do	O
n't	O
get	O
it	O
.	O

not	O
only	O
was	O
the	O
food	B-POS
outstanding	O
,	O
but	O
the	O
little	O
'	O
perks	B-POS
'	O
were	O
great	O
.	O

it	O
is	O
very	O
overpriced	O
and	O
not	O
very	O
tasty	O
.	O

our	O
agreed	O
favorite	O
is	O
the	O
orrechiete	B-POS
with	I-POS
sausage	I-POS
and	I-POS
chicken	I-POS
(	O
usually	O
the	O
waiters	B-POS
are	O
kind	O
enough	O
to	O
split	O
the	O
dish	B-NEU
in	O
half	O
so	O
you	O
get	O
to	O
sample	O
both	O
meats	B-NEU
)	O
.	O

the	O
bagels	B-POS
have	O
an	O
outstanding	O
taste	O
with	O
a	O
terrific	O
texture	O
,	O
both	O
chewy	O
yet	O
not	O
gummy	O
.	O

nevertheless	O
the	O
food	B-POS
itself	O
is	O
pretty	O
good	O
.	O

they	O
did	O
not	O
have	O
mayonnaise	B-NEG
,	O
forgot	O
our	O
toast	B-NEG
,	O
left	O
out	O
ingredients	B-NEG
(	O
ie	O
cheese	B-NEU
in	O
an	O
omelet	B-NEU
)	O
,	O
below	O
hot	O
temperatures	O
and	O
the	O
bacon	B-NEG
was	O
so	O
over	O
cooked	O
it	O
crumbled	O
on	O
the	O
plate	B-NEU
when	O
you	O
touched	O
it	O
.	O

it	O
took	O
half	O
an	O
hour	O
to	O
get	O
our	O
check	B-NEU
,	O
which	O
was	O
perfect	O
since	O
we	O
could	O
sit	O
,	O
have	O
drinks	B-NEU
and	O
talk	O
!	O

the	O
design	B-POS
and	O
atmosphere	B-POS
is	O
just	O
as	O
good	O
.	O

he	O
has	O
visited	O
thailand	O
and	O
is	O
quite	O
expert	O
on	O
the	O
cuisine	B-POS
.	O

i	O
would	O
definitely	O
recommend	O
mary	O
's	O
and	O
am	O
making	O
it	O
one	O
of	O
my	O
regular	O
neighborhood	O
haunts	O
.	O

the	O
pizza	B-POS
is	O
the	O
best	O
if	O
you	O
like	O
thin	B-NEU
crusted	I-NEU
pizza	I-NEU
.	O

my	O
girlfriend	O
and	O
i	O
stumbled	O
onto	O
this	O
hopping	O
place	O
the	O
other	O
night	O
and	O
had	O
a	O
great	O
time	O
!	O

he	O
ca	O
n't	O
help	O
,	O
they	O
're	O
bought	O
up	O
so	O
fast	O
.	O

secondly	O
,	O
on	O
this	O
night	O
the	O
place	O
was	O
overwhelmed	O
by	O
upper	O
east	O
side	O
ladies	O
perfume	O
